Word,Checked
going to bat for,24
go to pot,0
go-getter,0
goner,0
good sport,0
goof off,0
greasy spoon,0
half baked,0
hand over fist,0
hand to someone on a silver platter,0
hand to mouth,0
hard up,0
harp on,0
has-been,0
have a mind of one's own,0
have a prayer,0
has been around,0
have something coming,0
have it made,0
have it out with someone,0
have one's feet on the ground,0
have someone's hand in the till,0
have the heart to,0
haywire,0
high and dry,0
high and low,0
high-brow,0
hit it off,0
hit the bottle,0
up to speed,0
hit the spot,0
hogwash,0
hot / hottest,0
hot air,0
hound,0
ill at ease,0
in a bind,0
in a pinch,0
in a rut,9
in black and white,23
in nothing flat,0
in stitches,22
iron out,0
jack-of-all-trades,0
jalopy,0
jitters,0
John Hancock,0
jumps down someone's throat,0
jump the gun,0
keep one's nose clean,0
keep someone's shirt on,0
kick oneself,0
knock one dead,0
knock one for a loop,0
knock one's head against the wall,0
knockout,0
know if I was coming or going,0
kosher,10
lay out,0
learn the rope,0
leave someone holding the bag,0
lemon,0
let bygones be bygones,0
let it ride,0
let the chips fall as they may,0
like a ton of bricks,0
live high off the hog,0
live it up,0
live wire,0
loony bin,0
lose one's marbles,0
louse up,0
lowdown,0
lower the boom,0
make a dent,12
make a federal case out of,0
make a go of,0
make one's mouth water,0
miss a trick,0
mooch,0
mouthful,0
mudslinging,0
mum's the word,0
name someone after,0
nest egg,0
nightcap,0
nincompoop,0
nip it in the bud,0
nitpicking,0
nitwit,23
no dice,0
no picnic,0
nobody's fool,0
nothing to sneeze at,0
nuts about,0
odds and ends,0
off-color,0
off one's rocker,32
off the hook,0
off the top of someone's head,0
old flame,0
on a shoestring,0
on easy street,0
on its last leg,0
on the fritz,0
on the go,0
on the level,0
on the rocks,0
on the spot,33
on the wagon,0
on the warpath,0
once-over,0
one for the books,0
one's heart is in (one's) mouth,0
out of sorts,0
out of the woods,5
out on a limb,0
over a barrel,0
pad the bill,0
one's heart is in the right (wrong) place,0
pass the buck,0
pay through the nose,0
pep talk,0
perk up,0
pick up the tab,0
pick-me-up,0
pill,0
pinching pennies,0
pink slip,0
play hooky,0
play it by ear,0
playing the field,0
play up to,37
pound the pavement,20
pour it on thick,0
pull a fast one,0
not pull any punches,0
pull strings,0
pull the rug out from under,0
pull up stakes,0
push someone around,0
put anything past someone,0
put someone in someone's place,0
put someone through the wringer,0
put up a good front,0
rake over the coals,0
raw deal,0
right off the bat,0
rings a bell,0
road hog,0
rope into,0
rub it in,0
rule out,0
rule the roost,0
running around in circles,0
running ragged,0
variety is the spice of life,0
as long as,0
at hand,18
break down,0
bring up,0
can't stand; cant bear; put up with,0
catch on,0
cut out,0
do one good,0
draw up,0
drop off,0
feel like,0
take pity on,38
for good,0
fringe benefit,17
get one's way,0
get out of,0
go around,0
hold off,2
in charge of,0
in the way/on the way,0
keep off,0
lay off,0
make a face,25
make believe,0
pass out,0
put something on,35
put out,0
send for,0
show up,0
stay up,0
take after,7
take down,0
take hold of,0
take off,0
take one's time,0
take over,0
take pains,0
take time off,0
tell apart,0
throw up,0
wait on,0
wait up for,0
why not?,0
ask over,0
come up with,0
cover up,0
follow through with,0
get on with,35
get to,0
go along with,0
team up with,0
think back on,0
I am inclined to disagree,0
be bound to,0
adhere to,0
stringent,0
levy,0
breadwinner,0
ample choice,0
acute,0
the needy,0
the overwhelming majority of,0
unwind,0
soak up,0
beauty is in the eye of the beholder,0
get a business off the ground,0
fork out money on,0
squabble,0
exorbitant,0
tuition fees,0
forge relationships,2
have guests / friends over,31
weigh up,0
affluent,0
traffic congestion,0
run up,0
jovial,0
part and parcel of being,0
infringe,0
reticent,0
draw up rules,0
detrimental,0
greying,0
foot the bill,25
tedious,0
thorny,0
seemingly insurmountable,0
work long hours,0
land a job,0
broaden your horizons,0
take out a loan,0
pay off,0
be an avid fan of,0
doesn't appeal to me,0
tertiary,0
refrain from,0
breeding,0
cloak,2
peg,0
puddle,0
frigid,0
latitude,0
maid,0
recline,37
shack,0
teller,0
wager,0
dine,0
legislative,0
roam,0
shortening,0
beau,0
crab,0
dense,26
extravagant,0
hoop,0
perceive,0
schemer,0
sleet,0
bring out,0
dragnet,0
droplet,0
funky,0
probe,0
rioter,0
shape up,14
chill,0
employee,0
livelihood,0
attic,0
due,0
entitle,29
resent,0
wreck,0
elate,0
foreman,0
inference,0
ponderous,0
reluctant,0
skim,0
poke fun at,33
poodle,0
sawbuck,0
sundae,0
mountebank,0
watchman,0
yield,0
flabby,0
mitten,0
vision,18
drill,0
igneous,0
commence,0
counselor,0
gleam,0
lunge,0
bewilder,0
brawl,0
coarse,0
turf,0
waterfront,0
whirling,25
revise,0
confidence man,0
eardrum,0
wilderness,0
hardy,0
